"year","round","from_country","to_country","total_points","tele_points","jury_points"
1958,"final","nl","lu","0",NA,NA
1958,"final","nl","it","0",NA,NA
1958,"final","nl","de","0",NA,NA
1958,"final","se","at","1",NA,NA
1958,"final","se","ch","3",NA,NA
1958,"final","se","nl","4",NA,NA
1958,"final","se","dk","2",NA,NA
1958,"final","se","dk","0",NA,NA
1958,"final","se","de","0",NA,NA
1958,"final","se","lu","0",NA,NA
1958,"final","se","it","0",NA,NA
1958,"final","se","fr","0",NA,NA
1958,"final","se","be","0",NA,NA
1958,"final","ch","dk","4",NA,NA
1958,"final","ch","fr","1",NA,NA
1958,"final","ch","lu","2",NA,NA
1958,"final","ch","se","3",NA,NA
1958,"final","ch","se","0",NA,NA
1958,"final","ch","be","0",NA,NA
1958,"final","ch","de","0",NA,NA
1958,"final","ch","at","0",NA,NA
1958,"final","ch","nl","0",NA,NA
1958,"final","ch","it","0",NA,NA
1959,"final","at","ch","0",NA,NA
1959,"final","at","fr","0",NA,NA
1959,"final","at","mc","2",NA,NA
1959,"final","at","dk","4",NA,NA
1959,"final","at","de","0",NA,NA
1959,"final","at","be","1",NA,NA
1959,"final","at","se","3",NA,NA
1959,"final","at","gb","0",NA,NA
1959,"final","at","gb","0",NA,NA
1959,"final","at","it","0",NA,NA
1959,"final","at","nl","0",NA,NA
1959,"final","be","mc","9",NA,NA
1959,"final","be","at","0",NA,NA
1959,"final","be","at","1",NA,NA
1959,"final","be","ch","0",NA,NA
1959,"final","be","it","0",NA,NA
1959,"final","be","de","0",NA,NA
1959,"final","be","fr","0",NA,NA
1959,"final","be","gb","0",NA,NA
1959,"final","be","se","0",NA,NA
1959,"final","be","nl","0",NA,NA
1959,"final","be","dk","0",NA,NA
1959,"final","dk","gb","2",NA,NA
1959,"final","dk","mc","1",NA,NA
1959,"final","dk","fr","2",NA,NA
1959,"final","dk","at","2",NA,NA
1959,"final","dk","de","2",NA,NA
1959,"final","dk","ch","1",NA,NA
1959,"final","dk","se","0",NA,NA
1959,"final","dk","it","0",NA,NA
1959,"final","dk","be","0",NA,NA
1959,"final","dk","nl","0",NA,NA
1959,"final","dk","nl","0",NA,NA
1959,"final","fr","be","2",NA,NA
1959,"final","fr","dk","3",NA,NA
1959,"final","fr","se","1",NA,NA
1959,"final","fr","nl","1",NA,NA
1959,"final","fr","mc","3",NA,NA
1959,"final","fr","de","0",NA,NA
1959,"final","fr","at","0",NA,NA
1959,"final","fr","at","0",NA,NA
1959,"final","fr","gb","0",NA,NA
1959,"final","fr","ch","0",NA,NA
1959,"final","fr","it","0",NA,NA
1959,"final","de","dk","4",NA,NA
1959,"final","de","mc","4",NA,NA
1959,"final","de","gb","2",NA,NA
1959,"final","de","ch","0",NA,NA
1959,"final","de","at","0",NA,NA
1959,"final","de","se","0",NA,NA
1959,"final","de","be","0",NA,NA
1959,"final","de","nl","0",NA,NA
1959,"final","de","nl","0",NA,NA
1959,"final","de","fr","0",NA,NA
1959,"final","de","it","0",NA,NA
1959,"final","it","ch","1",NA,NA
1959,"final","it","be","0",NA,NA
1959,"final","it","gb","4",NA,NA
1959,"final","it","de","1",NA,NA
1959,"final","it","mc","2",NA,NA
1959,"final","it","dk","1",NA,NA
1959,"final","it","at","1",NA,NA
1959,"final","it","at","0",NA,NA
1959,"final","it","se","0",NA,NA
1959,"final","it","nl","0",NA,NA
1959,"final","it","fr","0",NA,NA
1959,"final","mc","gb","4",NA,NA
1959,"final","mc","se","3",NA,NA
1959,"final","mc","se","2",NA,NA
1959,"final","mc","nl","1",NA,NA
1959,"final","mc","be","0",NA,NA
1959,"final","mc","dk","0",NA,NA
1959,"final","mc","de","0",NA,NA
1959,"final","mc","ch","0",NA,NA
1959,"final","mc","it","0",NA,NA
1959,"final","mc","fr","0",NA,NA
1959,"final","mc","at","0",NA,NA
1959,"final","nl","gb","3",NA,NA
1959,"final","nl","dk","7",NA,NA
1959,"final","nl","de","0",NA,NA
1959,"final","nl","ch","0",NA,NA
1959,"final","nl","it","0",NA,NA
1959,"final","nl","mc","0",NA,NA
1959,"final","nl","mc","0",NA,NA
1959,"final","nl","se","0",NA,NA
1959,"final","nl","fr","0",NA,NA
1959,"final","nl","at","0",NA,NA
1959,"final","nl","be","0",NA,NA
1959,"final","se","fr","0",NA,NA
1959,"final","se","ch","2",NA,NA
1959,"final","se","dk","4",NA,NA
1959,"final","se","at","2",NA,NA
1959,"final","se","at","2",NA,NA
1959,"final","se","be","0",NA,NA
1959,"final","se","it","0",NA,NA
1959,"final","se","de","0",NA,NA
1959,"final","se","gb","0",NA,NA
1959,"final","se","mc","0",NA,NA
1959,"final","se","nl","0",NA,NA
1959,"final","ch","dk","2",NA,NA
1959,"final","ch","se","3",NA,NA
1959,"final","ch","nl","4",NA,NA
1959,"final","ch","it","1",NA,NA
1959,"final","ch","gb","0",NA,NA
1959,"final","ch","mc","0",NA,NA
1959,"final","ch","at","0",NA,NA
1959,"final","ch","be","0",NA,NA
1959,"final","ch","be","0",NA,NA
1959,"final","ch","fr","0",NA,NA
1959,"final","ch","de","0",NA,NA
1959,"final","gb","dk","9",NA,NA
1959,"final","gb","dk","1",NA,NA
1959,"final","gb","be","0",NA,NA
1959,"final","gb","it","0",NA,NA
1959,"final","gb","at","0",NA,NA
1959,"final","gb","fr","0",NA,NA
1959,"final","gb","ch","0",NA,NA
1959,"final","gb","mc","0",NA,NA
1959,"final","gb","se","0",NA,NA
1959,"final","gb","de","0",NA,NA
1959,"final","gb","nl","0",NA,NA
1960,"final","at","nl","5",NA,NA
1960,"final","at","mc","4",NA,NA
1960,"final","at","be","1",NA,NA
1960,"final","at","dk","0",NA,NA
1960,"final","at","se","0",NA,NA
1960,"final","at","fr","0",NA,NA
1960,"final","at","no","0",NA,NA
1960,"final","at","gb","0",NA,NA
1960,"final","at","it","0",NA,NA
1960,"final","at","de","0",NA,NA
1960,"final","at","ch","0",NA,NA
1960,"final","at","lu","0",NA,NA
1960,"final","at","lu","0",NA,NA
1960,"final","be","fr","4",NA,NA
1960,"final","be","lu","6",NA,NA
1960,"final","be","dk","0",NA,NA
1960,"final","be","se","0",NA,NA
1960,"final","be","gb","0",NA,NA
1960,"final","be","mc","0",NA,NA
1960,"final","be","mc","0",NA,NA
1960,"final","be","no","0",NA,NA
1960,"final","be","de","0",NA,NA
1960,"final","be","it","0",NA,NA
1960,"final","be","nl","0",NA,NA
1960,"final","be","at","0",NA,NA
1960,"final","be","ch","0",NA,NA
1960,"final","dk","se","2",NA,NA
1960,"final","dk","ch","3",NA,NA
1960,"final","dk","lu","1",NA,NA
1960,"final","dk","fr","1",NA,NA
1960,"final","dk","at","3",NA,NA
1960,"final","dk","nl","0",NA,NA
1960,"final","dk","de","0",NA,NA
1960,"final","dk","de","0",NA,NA
1960,"final","dk","gb","0",NA,NA
1960,"final","dk","it","0",NA,NA
1960,"final","dk","be","0",NA,NA
1960,"final","dk","mc","0",NA,NA
1960,"final","dk","no","0",NA,NA
1960,"final","fr","ch","3",NA,NA
1960,"final","fr","gb","6",NA,NA
1960,"final","fr","gb","1",NA,NA
1960,"final","fr","it","0",NA,NA
1960,"final","fr","de","0",NA,NA
1960,"final","fr","no","0",NA,NA
1960,"final","fr","se","0",NA,NA
1960,"final","fr","nl","0",NA,NA
1960,"final","fr","be","0",NA,NA
1960,"final","fr","mc","0",NA,NA
1960,"final","fr","dk","0",NA,NA
1960,"final","fr","lu","0",NA,NA
1960,"final","fr","at","0",NA,NA
1960,"final","de","no","3",NA,NA
1960,"final","de","dk","7",NA,NA
1960,"final","de","fr","0",NA,NA
1960,"final","de","mc","0",NA,NA
1960,"final","de","it","0",NA,NA
1960,"final","de","se","0",NA,NA
1960,"final","de","gb","0",NA,NA
1960,"final","de","at","0",NA,NA
1960,"final","de","lu","0",NA,NA
1960,"final","de","nl","0",NA,NA
1960,"final","de","ch","0",NA,NA
1960,"final","de","ch","0",NA,NA
1960,"final","de","be","0",NA,NA
1960,"final","it","fr","1",NA,NA
1960,"final","it","no","2",NA,NA
1960,"final","it","nl","2",NA,NA
1960,"final","it","de","4",NA,NA
1960,"final","it","gb","1",NA,NA
1960,"final","it","be","0",NA,NA
1960,"final","it","at","0",NA,NA
1960,"final","it","mc","0",NA,NA
1960,"final","it","lu","0",NA,NA
1960,"final","it","ch","0",NA,NA
1960,"final","it","ch","0",NA,NA
1960,"final","it","se","0",NA,NA
1960,"final","it","dk","0",NA,NA
1960,"final","lu","fr","6",NA,NA
1960,"final","lu","be","0",NA,NA
1960,"final","lu","se","4",NA,NA
1960,"final","lu","mc","0",NA,NA
1960,"final","lu","de","0",NA,NA
1960,"final","lu","at","0",NA,NA
1960,"final","lu","dk","0",NA,NA
1960,"final","lu","gb","0",NA,NA
1960,"final","lu","nl","0",NA,NA
1960,"final","lu","no","0",NA,NA
1960,"final","lu","no","0",NA,NA
1960,"final","lu","ch","0",NA,NA
1960,"final","lu","it","0",NA,NA
1960,"final","mc","it","0",NA,NA
1960,"final","mc","gb","3",NA,NA
1960,"final","mc","ch","3",NA,NA
1960,"final","mc","se","0",NA,NA
1960,"final","mc","at","4",NA,NA
1960,"final","mc","lu","0",NA,NA
1960,"final","mc","dk","0",NA,NA
1960,"final","mc","de","0",NA,NA
1960,"final","mc","no","0",NA,NA
1960,"final","mc","be","0",NA,NA
1960,"final","mc","be","0",NA,NA
1960,"final","mc","nl","0",NA,NA
1960,"final","mc","fr","0",NA,NA
1960,"final","nl","dk","2",NA,NA
1960,"final","nl","mc","2",NA,NA
1960,"final","nl","gb","3",NA,NA
1960,"final","nl","se","3",NA,NA
1960,"final","nl","no","0",NA,NA
1960,"final","nl","lu","0",NA,NA
1960,"final","nl","it","0",NA,NA
1960,"final","nl","de","0",NA,NA
1960,"final","nl","ch","0",NA,NA
1960,"final","nl","at","0",NA,NA
1960,"final","nl","at","0",NA,NA
1960,"final","nl","be","0",NA,NA
1960,"final","nl","fr","0",NA,NA
1960,"final","no","fr","10",NA,NA
1960,"final","no","mc","0",NA,NA
1960,"final","no","se","0",NA,NA
1960,"final","no","dk","0",NA,NA
1960,"final","no","ch","0",NA,NA
1960,"final","no","nl","0",NA,NA
1960,"final","no","lu","0",NA,NA
1960,"final","no","at","0",NA,NA
1960,"final","no","fr","0",NA,NA
1960,"final","no","de","0",NA,NA
1960,"final","no","it","0",NA,NA
1960,"final","no","be","0",NA,NA
1960,"final","no","gb","0",NA,NA
1960,"final","se","lu","0",NA,NA
1960,"final","se","ch","3",NA,NA
1960,"final","se","dk","2",NA,NA
1960,"final","se","dk","2",NA,NA
1960,"final","se","de","0",NA,NA
1960,"final","se","nl","0",NA,NA
1960,"final","se","be","0",NA,NA
1960,"final","se","mc","3",NA,NA
1960,"final","se","fr","0",NA,NA
1960,"final","se","no","0",NA,NA
1960,"final","se","it","0",NA,NA
1960,"final","se","at","0",NA,NA
1960,"final","se","gb","0",NA,NA
1960,"final","ch","nl","3",NA,NA
1960,"final","ch","be","2",NA,NA
1960,"final","ch","fr","2",NA,NA
1960,"final","ch","se","0",NA,NA
1960,"final","ch","dk","2",NA,NA
1960,"final","ch","at","1",NA,NA
1960,"final","ch","no","0",NA,NA
1960,"final","ch","it","0",NA,NA
1960,"final","ch","it","0",NA,NA
1960,"final","ch","gb","0",NA,NA
1960,"final","ch","lu","0",NA,NA
1960,"final","ch","mc","0",NA,NA
1960,"final","ch","de","0",NA,NA
1960,"final","gb","lu","0",NA,NA
1960,"final","gb","no","1",NA,NA
1960,"final","gb","de","0",NA,NA
1960,"final","gb","de","1",NA,NA
1960,"final","gb","dk","0",NA,NA
1960,"final","gb","be","1",NA,NA
1960,"final","gb","se","1",NA,NA
1960,"final","gb","it","1",NA,NA
1960,"final","gb","fr","4",NA,NA
1960,"final","gb","at","1",NA,NA
1960,"final","gb","mc","0",NA,NA
1960,"final","gb","nl","0",NA,NA
1960,"final","gb","ch","0",NA,NA
1961,"final","at","gb","4",NA,NA
1961,"final","at","mc","1",NA,NA
1961,"final","at","ch","5",NA,NA
1961,"final","at","yu","0",NA,NA
1961,"final","at","it","0",NA,NA
1961,"final","at","de","0",NA,NA
1961,"final","at","se","0",NA,NA
1961,"final","at","be","0",NA,NA
1961,"final","at","no","0",NA,NA
1961,"final","at","es","0",NA,NA
1961,"final","at","nl","0",NA,NA
1961,"final","at","lu","0",NA,NA
1961,"final","at","dk","0",NA,NA
1961,"final","at","fr","0",NA,NA
1961,"final","at","fr","0",NA,NA
1961,"final","at","fi","0",NA,NA
1961,"final","be","no","2",NA,NA
1961,"final","be","it","1",NA,NA
1961,"final","be","se","1",NA,NA
1961,"final","be","de","4",NA,NA
1961,"final","be","dk","1",NA,NA
1961,"final","be","es","1",NA,NA
1961,"final","be","lu","0",NA,NA
1961,"final","be","gb","0",NA,NA
1961,"final","be","gb","0",NA,NA
1961,"final","be","ch","0",NA,NA
1961,"final","be","at","0",NA,NA
1961,"final","be","mc","0",NA,NA
1961,"final","be","nl","0",NA,NA
1961,"final","be","fi","0",NA,NA
1961,"final","be","fr","0",NA,NA
1961,"final","be","yu","0",NA,NA
1961,"final","dk","fi","4",NA,NA
1961,"final","dk","gb","1",NA,NA
1961,"final","dk","ch","0",NA,NA
1961,"final","dk","lu","1",NA,NA
1961,"final","dk","de","0",NA,NA
1961,"final","dk","se","1",NA,NA
1961,"final","dk","be","2",NA,NA
1961,"final","dk","mc","0",NA,NA
1961,"final","dk","no","0",NA,NA
1961,"final","dk","at","1",NA,NA
1961,"final","dk","es","0",NA,NA
1961,"final","dk","es","0",NA,NA
1961,"final","dk","fr","0",NA,NA
1961,"final","dk","yu","0",NA,NA
1961,"final","dk","nl","0",NA,NA
1961,"final","dk","it","0",NA,NA
1961,"final","fi","lu","4",NA,NA
1961,"final","fi","gb","0",NA,NA
1961,"final","fi","ch","2",NA,NA
1961,"final","fi","dk","0",NA,NA
1961,"final","fi","no","1",NA,NA
1961,"final","fi","es","3",NA,NA
1961,"final","fi","yu","0",NA,NA
1961,"final","fi","it","0",NA,NA
1961,"final","fi","it","0",NA,NA
1961,"final","fi","at","0",NA,NA
1961,"final","fi","se","0",NA,NA
1961,"final","fi","nl","0",NA,NA
1961,"final","fi","fr","0",NA,NA
1961,"final","fi","be","0",NA,NA
1961,"final","fi","mc","0",NA,NA
1961,"final","fi","de","0",NA,NA
1961,"final","fr","de","2",NA,NA
1961,"final","fr","es","1",NA,NA
1961,"final","fr","yu","3",NA,NA
1961,"final","fr","gb","4",NA,NA
1961,"final","fr","se","0",NA,NA
1961,"final","fr","dk","0",NA,NA
1961,"final","fr","at","0",NA,NA
1961,"final","fr","de","0",NA,NA
1961,"final","fr","no","0",NA,NA
1961,"final","fr","nl","0",NA,NA
1961,"final","fr","it","0",NA,NA
1961,"final","fr","mc","0",NA,NA
1961,"final","fr","lu","0",NA,NA
1961,"final","fr","ch","0",NA,NA
1961,"final","fr","fi","0",NA,NA
1961,"final","fr","be","0",NA,NA
1961,"final","de","mc","10",NA,NA
1961,"final","de","gb","0",NA,NA
1961,"final","de","it","0",NA,NA
1961,"final","de","no","0",NA,NA
1961,"final","de","se","0",NA,NA
1961,"final","de","es","0",NA,NA
1961,"final","de","nl","0",NA,NA
1961,"final","de","nl","0",NA,NA
1961,"final","de","ch","0",NA,NA
1961,"final","de","fi","0",NA,NA
1961,"final","de","yu","0",NA,NA
1961,"final","de","dk","0",NA,NA
1961,"final","de","lu","0",NA,NA
1961,"final","de","at","0",NA,NA
1961,"final","de","fr","0",NA,NA
1961,"final","de","be","0",NA,NA
1961,"final","it","lu","1",NA,NA
1961,"final","it","be","8",NA,NA
1961,"final","it","nl","0",NA,NA
1961,"final","it","mc","1",NA,NA
1961,"final","it","ch","0",NA,NA
1961,"final","it","de","0",NA,NA
1961,"final","it","es","0",NA,NA
1961,"final","it","se","0",NA,NA
1961,"final","it","dk","0",NA,NA
1961,"final","it","yu","0",NA,NA
1961,"final","it","gb","0",NA,NA
1961,"final","it","gb","0",NA,NA
1961,"final","it","no","0",NA,NA
1961,"final","it","fr","0",NA,NA
1961,"final","it","fi","0",NA,NA
1961,"final","it","at","0",NA,NA
1961,"final","lu","se","2",NA,NA
1961,"final","lu","ch","1",NA,NA
1961,"final","lu","be","1",NA,NA
1961,"final","lu","gb","1",NA,NA
1961,"final","lu","es","1",NA,NA
1961,"final","lu","fr","4",NA,NA
1961,"final","lu","nl","0",NA,NA
1961,"final","lu","yu","0",NA,NA
1961,"final","lu","dk","0",NA,NA
1961,"final","lu","dk","0",NA,NA
1961,"final","lu","no","0",NA,NA
1961,"final","lu","at","0",NA,NA
1961,"final","lu","mc","0",NA,NA
1961,"final","lu","it","0",NA,NA
1961,"final","lu","de","0",NA,NA
1961,"final","lu","fi","0",NA,NA
1961,"final","mc","fi","3",NA,NA
1961,"final","mc","yu","1",NA,NA
1961,"final","mc","nl","1",NA,NA
1961,"final","mc","dk","2",NA,NA
1961,"final","mc","at","0",NA,NA
1961,"final","mc","no","1",NA,NA
1961,"final","mc","gb","0",NA,NA
1961,"final","mc","fi","2",NA,NA
1961,"final","mc","se","0",NA,NA
1961,"final","mc","it","0",NA,NA
1961,"final","mc","be","0",NA,NA
1961,"final","mc","ch","0",NA,NA
1961,"final","mc","es","0",NA,NA
1961,"final","mc","de","0",NA,NA
1961,"final","mc","lu","0",NA,NA
1961,"final","mc","fr","0",NA,NA
1961,"final","nl","mc","2",NA,NA
1961,"final","nl","fr","1",NA,NA
1961,"final","nl","at","1",NA,NA
1961,"final","nl","se","3",NA,NA
1961,"final","nl","ch","3",NA,NA
1961,"final","nl","es","0",NA,NA
1961,"final","nl","es","0",NA,NA
1961,"final","nl","be","0",NA,NA
1961,"final","nl","it","0",NA,NA
1961,"final","nl","yu","0",NA,NA
1961,"final","nl","fi","0",NA,NA
1961,"final","nl","gb","0",NA,NA
1961,"final","nl","lu","0",NA,NA
1961,"final","nl","dk","0",NA,NA
1961,"final","nl","no","0",NA,NA
1961,"final","nl","de","0",NA,NA
1961,"final","no","fr","4",NA,NA
1961,"final","no","es","2",NA,NA
1961,"final","no","nl","0",NA,NA
1961,"final","no","at","2",NA,NA
1961,"final","no","fi","1",NA,NA
1961,"final","no","mc","1",NA,NA
1961,"final","no","lu","0",NA,NA
1961,"final","no","it","0",NA,NA
1961,"final","no","ch","0",NA,NA
1961,"final","no","ch","0",NA,NA
1961,"final","no","yu","0",NA,NA
1961,"final","no","be","0",NA,NA
1961,"final","no","se","0",NA,NA
1961,"final","no","gb","0",NA,NA
1961,"final","no","dk","0",NA,NA
1961,"final","no","de","0",NA,NA
1961,"final","es","fr","2",NA,NA
1961,"final","es","nl","1",NA,NA
1961,"final","es","mc","1",NA,NA
1961,"final","es","de","0",NA,NA
1961,"final","es","no","4",NA,NA
1961,"final","es","ch","2",NA,NA
1961,"final","es","gb","0",NA,NA
1961,"final","es","at","0",NA,NA
1961,"final","es","se","0",NA,NA
1961,"final","es","se","0",NA,NA
1961,"final","es","it","0",NA,NA
1961,"final","es","lu","0",NA,NA
1961,"final","es","be","0",NA,NA
1961,"final","es","fi","0",NA,NA
1961,"final","es","yu","0",NA,NA
1961,"final","es","dk","0",NA,NA
1961,"final","se","de","9",NA,NA
1961,"final","se","de","1",NA,NA
1961,"final","se","ch","0",NA,NA
1961,"final","se","it","0",NA,NA
1961,"final","se","fi","0",NA,NA
1961,"final","se","mc","0",NA,NA
1961,"final","se","es","0",NA,NA
1961,"final","se","fr","0",NA,NA
1961,"final","se","yu","0",NA,NA
1961,"final","se","nl","0",NA,NA
1961,"final","se","at","0",NA,NA
1961,"final","se","dk","0",NA,NA
1961,"final","se","no","0",NA,NA
1961,"final","se","be","0",NA,NA
1961,"final","se","gb","0",NA,NA
1961,"final","se","lu","0",NA,NA
1961,"final","ch","es","3",NA,NA
1961,"final","ch","de","3",NA,NA
1961,"final","ch","fr","1",NA,NA
1961,"final","ch","lu","0",NA,NA
1961,"final","ch","be","3",NA,NA
1961,"final","ch","be","0",NA,NA
1961,"final","ch","gb","0",NA,NA
1961,"final","ch","yu","0",NA,NA
1961,"final","ch","fi","0",NA,NA
1961,"final","ch","nl","0",NA,NA
1961,"final","ch","no","0",NA,NA
1961,"final","ch","dk","0",NA,NA
1961,"final","ch","it","0",NA,NA
1961,"final","ch","se","0",NA,NA
1961,"final","ch","mc","0",NA,NA
1961,"final","ch","at","0",NA,NA
1961,"final","gb","se","1",NA,NA
1961,"final","gb","nl","0",NA,NA
1961,"final","gb","no","2",NA,NA
1961,"final","gb","lu","3",NA,NA
1961,"final","gb","es","1",NA,NA
1961,"final","gb","yu","0",NA,NA
1961,"final","gb","be","0",NA,NA
1961,"final","gb","ch","0",NA,NA
1961,"final","gb","it","2",NA,NA
1961,"final","gb","dk","1",NA,NA
1961,"final","gb","fi","0",NA,NA
1961,"final","gb","fr","0",NA,NA
1961,"final","gb","at","0",NA,NA
1961,"final","gb","de","0",NA,NA
1961,"final","gb","de","0",NA,NA
1961,"final","gb","mc","0",NA,NA
